id,title,description,availability,condition,price,link,image_link,brand,google_product_category
manicura-tradicional,Manicura Tradicional,"Manicura clasica completa en nuestro salon del Eixample, Barcelona. Incluye limado y modelado de uñas, retirada y cuidado de cuticulas, hidratacion de manos y esmaltado normal en el color que elijas. Acabado natural y elegante, perfecto para el dia a dia. Duracion: 30 minutos. Reserva tu cita online o por WhatsApp.",in stock,new,25.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/natural-nails.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
manicura-semipermanente,Manicura Semipermanente,"Manicura completa con esmaltado semipermanente de larga duracion que mantiene el brillo y el color perfecto durante 2 a 3 semanas sin descascarillarse. Incluye limado, retirada de cuticulas, aplicacion de base, color y top coat con lampara LED. Amplia carta de colores disponibles. Duracion: 60 minutos. Centro NAILOX en el Eixample, Barcelona.",in stock,new,32.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/nails-pink.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
manicura-nivelacion,Manicura con Nivelacion,"Tratamiento de refuerzo y nivelacion de la uña natural con gel o acrilico, ideal para uñas fragiles o que se rompen facilmente. No alarga la uña, sino que la fortalece y protege desde la base. Incluye limado, cuticulas, nivelacion y esmaltado semipermanente. Resultado: uñas naturales pero mucho mas resistentes. Duracion: 120 minutos. Salon NAILOX, Eixample, Barcelona.",in stock,new,38.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/biab.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
unas-en-gel,Uñas en Gel - Construccion y Alargamiento,"Construccion completa de uñas en gel con la forma y longitud que prefieras: almendra, coffin, stiletto, cuadrada o ballerina. Incluye preparacion de la uña natural, aplicacion del gel de construccion, modelado, limado de forma y esmaltado semipermanente. El servicio mas completo para uñas largas y espectaculares. Duracion: 150 minutos. Profesionales certificadas en NAILOX, Eixample, Barcelona.",in stock,new,70.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/extensions-premium.png,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
relleno-gel-acrilico,Relleno de Gel o Acrilico,"Mantenimiento y relleno de uñas en gel o acrilico ya existentes. Incluye retirada del esmalte anterior, relleno del crecimiento natural, nivelacion, nuevo modelado de forma y esmaltado semipermanente fresco. Recomendado cada 3-4 semanas para mantener tus uñas perfectas. Duracion: 120 minutos. NAILOX, Eixample, Barcelona.",in stock,new,45.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/polygel.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pedicura-tradicional,Pedicura Tradicional,"Pedicura completa y relajante que incluye baño de pies con sales, exfoliacion, retirada de durezas, limado y cuidado de cuticulas, hidratacion profunda y esmaltado clasico. Tus pies quedan suaves, cuidados y bonitos. Ideal antes del verano o como tratamiento regular. Duracion: 60 minutos. Salon NAILOX, Eixample, Barcelona.",in stock,new,30.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/feet-care.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pedicura-semipermanente,Pedicura Semipermanente,"Pedicura spa completa con esmaltado semipermanente de larga duracion en los pies. Incluye baño relajante, exfoliacion, retirada de durezas, limado, cuticulas, hidratacion y aplicacion de semipermanente con lampara LED. El color dura 3-4 semanas perfecto. Duracion: 120 minutos. NAILOX, Eixample, Barcelona.",in stock,new,38.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/pedi-travel.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
esmaltado-semi-manicura,Esmaltado Semipermanente en Manicura,"Solo el esmaltado semipermanente sobre uñas ya preparadas (sin manicura completa). Perfecto si ya tienes las uñas en buen estado y solo necesitas renovar el color. Incluye aplicacion de base, color y top coat con lampara LED. Amplia carta de colores. Duracion: 30 minutos. NAILOX, Eixample, Barcelona.",in stock,new,18.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/nail-polish.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
esmaltado-semi-pedicura,Esmaltado Semipermanente en Pedicura,"Solo el esmaltado semipermanente en los pies sobre uñas ya preparadas (sin pedicura completa). Renueva el color de tus pies en solo 30 minutos con un acabado brillante y duradero. Ideal entre pedicuras completas. Duracion: 30 minutos. NAILOX, Eixample, Barcelona.",in stock,new,20.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/summer-nails.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pack-mani-pedi-normal,Pack Manicura y Pedicura Tradicional,"El pack basico para manos y pies: manicura tradicional completa + pedicura tradicional completa en una sola sesion. Incluye limado, cuticulas, hidratacion y esmaltado clasico en manos y pies. Ahorra 10 euros respecto al precio por separado. Duracion: 120 minutos. NAILOX, Eixample, Barcelona.",in stock,new,45.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/spa-nails.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pack-mani-pedi-semi,Pack Manicura y Pedicura Semipermanente,"Nuestro pack mas popular: manicura semipermanente + pedicura semipermanente en una sola sesion. Manos y pies perfectos con esmaltado de larga duracion. Ahorra 10 euros respecto al precio por separado. El combo ideal para un look completo. Duracion: 120 minutos. NAILOX, Eixample, Barcelona.",in stock,new,60.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/luxury-mani.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pack-semi-pedi-tradi,Pack Manicura Semipermanente + Pedicura Tradicional,"Pack combinado: manicura con esmaltado semipermanente en las manos + pedicura con esmaltado clasico en los pies. Ideal si quieres duracion en las manos y un retoque rapido en los pies. Ahorra 7 euros respecto al precio por separado. Duracion: 160 minutos. NAILOX, Eixample, Barcelona.",in stock,new,55.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/pastel-elegant.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pack-pedi-semi-mani-tradi,Pack Pedicura Semipermanente + Manicura Tradicional,"Pack combinado: pedicura con esmaltado semipermanente en los pies + manicura con esmaltado clasico en las manos. Perfecto si priorizas la duracion en los pies. Ahorra 5 euros. Duracion: 120 minutos. NAILOX, Eixample, Barcelona.",in stock,new,58.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/nude-nails.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pack-nivelacion-pedi-tradi,Pack Manicura Nivelacion + Pedicura Tradicional,"Pack premium: manicura con nivelacion y refuerzo de uña natural + pedicura tradicional completa. Uñas fuertes y bonitas en las manos con pies cuidados. Ahorra 13 euros respecto al precio por separado. Duracion: 150 minutos. NAILOX, Eixample, Barcelona.",in stock,new,55.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/clean-girl.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
pack-nivelacion-pedi-semi,Pack Manicura Nivelacion + Pedicura Semipermanente,"El pack mas completo de NAILOX: manicura con nivelacion/refuerzo + pedicura con semipermanente. Manos fortalecidas y pies con color duradero. Ahorra 8 euros respecto al precio por separado. Duracion: 180 minutos. Nuestro salon esta en el Eixample, Barcelona.",in stock,new,68.00 EUR,https://nailox.com/reservar,https://nailox.com/assets/blog/chrome-nails.jpg,NAILOX,Health & Beauty > Personal Care > Cosmetics > Nail Care
